Threshold,c1 value,c2 value,c3 value
0.0030103,-1,1e-100,1
0.0030407,-1,1e-99,1
0.0030717,-1,1e-98,1
0.0031034,-1,1e-97,1
0.0031357,-1,1e-96,1
0.0031687,-1,1e-95,1
0.0032024,-1,1e-94,1
0.0032369,-1,1e-93,1
0.0032721,-1,1e-92,1
0.003308,-1,1e-91,1
0.0033448,-1,1e-90,1
0.0033824,-1,1e-89,1
0.0034208,-1,1e-88,1
0.0034601,-1,1e-87,1
0.0035003,-1,1e-86,1
0.0035415,-1,1e-85,1
0.0035837,-1,1e-84,1
0.0036269,-1,1e-83,1
0.0036711,-1,1e-82,1
0.0037164,-1,1e-81,1
0.0037629,-1,1e-80,1
0.0038105,-1,1e-79,1
0.0038594,-1,1e-78,1
0.0039095,-1,1e-77,1
0.0039609,-1,1e-76,1
0.0040137,-1,1e-75,1
0.004068,-1,1e-74,1
0.0041237,-1,1e-73,1
0.004181,-1,1e-72,1
0.0042399,-1,1e-71,1
0.0043004,-1,1e-70,1
0.0043628,-1,1e-69,1
0.0044269,-1,1e-68,1
0.004493,-1,1e-67,1
0.0045611,-1,1e-66,1
0.0046312,-1,1e-65,1
0.0047036,-1,1e-64,1
0.0047783,-1,1e-63,1
0.0048553,-1,1e-62,1
0.0049349,-1,1e-61,1
0.0050172,-1,1e-60,1
0.0051022,-1,1e-59,1
0.0051902,-1,1e-58,1
0.0052812,-1,1e-57,1
0.0053755,-1,1e-56,1
0.0054733,-1,1e-55,1
0.0055746,-1,1e-54,1
0.0056798,-1,1e-53,1
0.005789,-1,1e-52,1
0.0059025,-1,1e-51,1
0.0060206,-1,1e-50,1
0.0061435,-1,1e-49,1
0.0062715,-1,1e-48,1
0.0064049,-1,1e-47,1
0.0065441,-1,1e-46,1
0.0066896,-1,1e-45,1
0.0068416,-1,1e-44,1
0.0070007,-1,1e-43,1
0.0071674,-1,1e-42,1
0.0073422,-1,1e-41,1
0.0075257,-1,1e-40,1
0.0077187,-1,1e-39,1
0.0079218,-1,1e-38,1
0.0081359,-1,1e-37,1
0.0083619,-1,1e-36,1
0.0086009,-1,1e-35,1
0.0088538,-1,1e-34,1
0.0091221,-1,1e-33,1
0.0094072,-1,1e-32,1
